37;Haarkur normales Haar 200 ml;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Cremdose 30ml Novelle weiß doppelw.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
39;Pflegestift weiß  / 1 Stück;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
40;Handcreme rasch einziehend 30 g;;;;;;;;1,2;;;;;;;;;;;;;1,5;1,8;;;;;;;;;;;;;;;;;;;;;;;;;2,4;;;;;;;;;;;;;;;;;;;;;0,18;;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,8;3,6;0,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Anti-Aging Liposomen Gel 20 g;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;1,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;1,25;;;;;;;;;;;;
42;Vitamin Creme   30ml;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,25;;;;;;;;;;;;;2,5;1,25;;;;;;;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Vitamin-_Bodylotion200ml;2,5;;;;;;;;;;;14;;;;;;;;;5;6;;;;4;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,5;;;;;;;;;;;;;;;20;10;;;;;;;;;;;;;5;;8;;;100;;;;;;;;;;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;;;;
44;Nachtregenerationscreme 30g;0,3;;;;;;;;;;;;;;0,4;;;;;;1,25;1,2;;;;;;;;;;;;;;;;1,2;;;;;;;;;;;;;;;;;3;;;;;;;1,8;;;;;;0,3;;;;;;;;;;;;;;;;2,4;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18,6;0,3;;;;;
45;Baby-Massageöl 200ml;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;
46;Feuchtigkeitscreme   30g;;1,3;;;;;;;;;;;;;;;;;;;1,3;1,2;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;2,4;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,25;;;;1,2;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;
47;After Shave Flasche 100ml;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Sprühflasche 100ml ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
49;Ölgel zum Abschminken 50 ml;;;0,25;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;;;;;;;;;;;;;;;;;0,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Gesichtswasser Akne 100 ml;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;Creme für Mischhaut 30 g;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;12;;;;;;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;;;;;1,8;9;;1,2;;;;;;;;;;;;;;0,5;1,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;;;;;;;;;;;
52;Kristalldose Klarglas 30ml Silberdeckel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
